tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt0116356,Frankenstein and Me,1996,91,"['Comedy', 'Family', 'Fantasy']",5.0,478.0,['nm0864016']
tt0116361,Freeway,1996,102,"['Crime', 'Drama', 'Thriller']",6.8,30219.0,['nm0109165']
tt0116413,Poor But Beautiful,1996,90,['Comedy'],4.1,94.0,['nm0728271']
tt0116468,Vaska Easoff,1996,85,['Comedy'],6.7,212.0,['nm0331797']
tt0116486,Harald,1997,88,"['Comedy', 'Sci-Fi']",7.1,96.0,['nm0250906']
tt0116554,L'homme idéal,1996,110,"['Comedy', 'Romance']",6.1,323.0,['nm0586198']
tt0116564,Hot Ticket,1995,81,['Action'],3.8,184.0,['nm0002973']
tt0116593,I Shall Not Be Removed: The Life of Marlon Riggs,1996,60,"['Biography', 'Documentary']",7.6,67.0,['nm0263543']
tt0116616,The Imp,1996,96,['Horror'],4.4,160.0,['nm0481703']
tt0116692,Beyond Silence,1996,109,"['Drama', 'Music']",7.4,4511.0,['nm0512862']
tt0116696,Jerusalem,1996,168,['Drama'],6.9,1543.0,['nm0000806']
tt0116709,Joe's Wedding,1996,99,"['Comedy', 'Romance']",5.7,65.0,['nm0448225']
tt0116729,The Dress,1996,103,"['Comedy', 'Drama']",7.0,2051.0,['nm0912334']
tt0116742,Deathline,1996,94,['Thriller'],5.8,121.0,['nm0400170']
tt0116743,Kama Sutra: A Tale of Love,1996,117,"['Crime', 'Drama', 'History']",6.0,11066.0,['nm0619762']
tt0116754,Prisoner of the Mountains,1996,99,"['Drama', 'War']",7.5,4647.0,['nm0091076']
tt0116756,Kazaam,1996,93,"['Comedy', 'Family', 'Fantasy']",3.1,25216.0,['nm0001274']
tt0116767,Kids Return,1996,107,"['Crime', 'Drama', 'Sport']",7.4,6524.0,['nm0001429']
tt0116772,The Killing Jar,1997,101,"['Drama', 'Horror', 'Mystery']",4.5,289.0,['nm0188881']
tt0116783,Kissed,1996,78,"['Drama', 'Romance']",6.4,3934.0,['nm0832369']
tt0116784,Kissing a Dream,1996,91,['Thriller'],4.4,77.0,['nm0316957']
tt0116839,Lawnmower Man 2: Beyond Cyberspace,1995,93,"['Action', 'Sci-Fi', 'Thriller']",2.5,9876.0,['nm0542752']
tt0116841,Layin' Low,1996,96,['Comedy'],4.9,168.0,['nm0500444']
tt0116845,The Leading Man,1996,100,"['Drama', 'Romance', 'Thriller']",5.6,1582.0,['nm0241090']
tt0116859,The Leopard Son,1996,87,['Documentary'],7.4,170.0,['nm0887361']
tt0116866,Level Five,1997,106,"['Documentary', 'Romance', 'War']",7.0,919.0,['nm0003408']
tt0116869,Lycantropus: The Moonlight Murders,1997,91,['Horror'],4.5,130.0,['nm0735633']
tt0116914,Loose Women,1997,91,"['Drama', 'Romance']",4.4,129.0,['nm0076353']
tt0116940,Luna e l'altra,1996,100,"['Comedy', 'Fantasy']",6.4,120.0,['nm0629309']
tt0116956,Magenta,1997,91,"['Drama', 'Thriller']",4.7,243.0,['nm0371462']
tt0116967,Malena es un nombre de tango,1996,109,['Drama'],6.0,328.0,['nm0380547']
tt0116987,Marco Polo: The Missing Chapter,1996,127,"['Adventure', 'Biography', 'Drama']",5.9,73.0,['nm0119730']
tt0117073,My Man,1996,99,"['Comedy', 'Drama', 'Romance']",6.3,1661.0,['nm0088397']
tt0117089,Rebirth of Mothra,1996,106,"['Action', 'Adventure', 'Family']",5.8,1442.0,['nm0948492']
tt0117091,Mother,1996,104,"['Comedy', 'Drama']",6.9,6534.0,['nm0000983']
tt0117143,Nach Fünf im Urwald,1995,99,"['Comedy', 'Romance']",7.1,1546.0,['nm0772691']
tt0117151,"Goodbye South, Goodbye",1996,124,"['Crime', 'Drama']",7.2,1857.0,['nm0396284']
